truth,dare
"What's your biggest fear about our relationship?","Send me a selfie making your silliest face"
"What's the most embarrassing thing that happened to you this week?","Do 10 jumping jacks right now"
"What's one thing you've never told me?","Sing 'Happy Birthday' to me"
"What's your biggest turn-on?","Tell me about your day using only emojis"
"What's something you wish we did more often?","Do your best impression of a celebrity"
"What's your biggest regret?","Share your screen and show me your most played song"
"What's the weirdest dream you've ever had?","Write a short poem about our relationship"
"What's your most irrational fear?","Do a little dance for 30 seconds"
"What's something you're secretly proud of?","Take a photo of your current view and send it"
"What's your guilty pleasure?","Tell me three things you love about me in different accents"
"What's your happiest memory with me?",""
"What's something small I do that makes you smile every time?",""
"What was your first impression of me?",""
"What's a habit of mine that you secretly find cute?",""
"What's one thing you miss most when we're apart?",""
"What's your love language, honestly?",""
"What's the sweetest thing someone has ever done for you?",""
"What's the funniest thing I've ever said to you?",""
"What do you daydream about most often?",""
"What's your biggest insecurity?",""
"What's the bravest thing you've ever done?",""
"What song reminds you most of me?",""
"What's one place you dream of going with me?",""
"What's your favorite thing about our relationship?",""
"What's one secret talent you have?",""
"What's your favorite compliment I've ever given you?",""
"What's one movie that always makes you emotional?",""
"What's the most romantic thing you've ever experienced?",""
"What's something you hope we never stop doing?",""
"What's a fear you’ve never told anyone about?",""
"What's your favorite physical feature of mine?",""
"What's your favorite memory from childhood?",""
"What's one thing you’ve always wanted to ask me but haven’t?",""
"What's your biggest dream for the future?",""
"What's your favorite time of day to spend with me?",""
"What's one thing you want to improve about yourself?",""
"What's something you think I don’t notice about you?",""
"What's the most embarrassing thing you’ve ever said to someone you liked?",""
"What's your favorite inside joke of ours?",""
"What's something you’d do if fear wasn’t holding you back?",""
"What's the most thoughtful gift you’ve ever received?",""
"What's one song lyric that feels like it was written for us?",""
"What's your favorite way to be comforted?",""
"What's one thing you’ve never told your parents?",""
"What's your biggest pet peeve?",""
"What's your favorite date we’ve had so far?",""
"What's the first thing you thought when you met me?",""
"What's your favorite holiday memory?",""
"What's one silly thing that always makes you laugh?",""
